cv_id,subject,author_name,author_uri,recipient_name,recipient_uri,date,place_label,place_uri,lat,long,mentioned_people,mentioned_orgs,mentioned_places,mentioned_events,mentioned_dates,text_file
CV-108,Carta CV-108 – Antônio de Melo e Albuquerque para o Barão de Caxias,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Barão de Caxias,https://carlamenegat.github.io/VarelaDigital/person/luis_alves_lima_silva,1842-12-07,Santo Antônio,https://www.geonames.org/3449614/santo-antonio-da-patrulha.html,-29.8260,-50.5170,Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;Francisco Fabiano da Silva|https://carlamenegat.github.io/VarelaDigital/person/francisco_fabiano_silva;Luís Alves de Lima e Silva|https://www.wikidata.org/wiki/Q712089|Duque de Caxias§Barão de Caxias,Comando Militar do Município de Santo Antônio|https://carlamenegat.github.io/VarelaDigital/org/comando_militar_santo_antonio|Comando Militar do município de Santo Antônio;8.º Corpo de cavalaria dos Guardas Nacionais|https://carlamenegat.github.io/VarelaDigital/org/guardas_nacionais_8corpo|8.º Corpo de Guardas Nacionais,Santo Antônio da Patrulha|https://www.geonames.org/3449614/santo-antonio-da-patrulha.html|Santo Antônio,,1842-12-07;1978;2025-07-09;2025-12-03,CV-108.xml
CV-109,Carta CV-109 – Antônio de Melo e Albuquerque para Tomás José da Silva,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Tomás José da Silva,https://carlamenegat.github.io/VarelaDigital/person/tomas_jose_silva,1844-01-09,Santo Antônio,https://www.geonames.org/3449614/santo-antonio-da-patrulha.html,-29.8260,-50.5170,Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;Pedro José|https://carlamenegat.github.io/VarelaDigital/person/pedro_jose|Alemão Pedro José;Tomás José da Silva|https://carlamenegat.github.io/VarelaDigital/person/tomas_jose_silva|Marechal-de-campo Tomás José da Silva,Comando Militar do Município de Santo Antônio|https://carlamenegat.github.io/VarelaDigital/org/comando_militar_santo_antonio|Comando Militar do município de Santo Antônio,Porto Alegre|https://www.geonames.org/3452925/porto-alegre.html|Leal e Valerosa Cidade de Porto Alegre§Madre de Deus de Porto Alegre;Santo Antônio da Patrulha|https://www.geonames.org/3449614/santo-antonio-da-patrulha.html|Santo Antônio,,1844-01-09;1844-01-15;1978;2025-07-09;2025-12-03,CV-109.xml
CV-11,Documento CV-11 — Requerimento ao Tribunal do Tesouro (inscrição de dívida de Antônio Francisco dos Santos Abreu),Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,,,,,,,,Alexandre Silveira Lopes|https://carlamenegat.github.io/VarelaDigital/person/alexandre_silveira;Antônio Francisco dos Santos Abreu|https://carlamenegat.github.io/VarelaDigital/person/antonio_abreu;Domingos José de Almeida|https://www.wikidata.org/wiki/Q10268073,,Erval|https://www.geonames.org/3461679/herval.html|Herval;São Lourenço|https://www.geonames.org/3448596/sao-lourenco-do-sul.html|Boqueirão§São Lourenço do Sul,,1842-03-19;1978;2025-06-18;2025-11-25,CV-11.xml
CV-110,Carta CV-110 – Antônio de Melo e Albuquerque para Tomás José da Silva,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,Tomás José da Silva,https://carlamenegat.github.io/VarelaDigital/person/tomas_jose_silva,1844-02-09,Santo Antônio da Patrulha,https://www.geonames.org/3449614/santo-antonio-da-patrulha.html,-29.8260,-50.5170,Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;João Lourenço Vidal|https://carlamenegat.github.io/VarelaDigital/person/joao_lourenco_vidal;Tomás José da Silva|https://carlamenegat.github.io/VarelaDigital/person/tomas_jose_silva|Marechal de Campo Tomás José da Silva,Comando Militar do Município de Santo Antônio|https://carlamenegat.github.io/VarelaDigital/org/comando_militar_santo_antonio|Comando Militar do município de Santo Antônio,Porto Alegre|https://www.geonames.org/3452925/porto-alegre.html|Leal e Valerosa Cidade de Porto Alegre§Madre de Deus de Porto Alegre;Santo Antônio da Patrulha|https://www.geonames.org/3449614/santo-antonio-da-patrulha.html|Santo Antônio,,1844-02-09;1978;2025-07-09;2025-12-03,CV-110.xml
CV-111,CV-111 – Requerimento fragmentário de Antônio de Melo e Albuquerque,Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/antonio_melo_albuquerque,,,,,,,,Alfredo Varela|https://www.wikidata.org/wiki/Q14474103;Antônio de Melo e Albuquerque|https://www.wikidata.org/wiki/Q16492071|Melo Manso;Bento Manuel Ribeiro|https://www.wikidata.org/wiki/Q3638335|Bento Manuel;Evaristo dos Santos Robalo|https://carlamenegat.github.io/VarelaDigital/person/evaristo_santos_robalo;Juca Cipriano|https://carlamenegat.github.io/VarelaDigital/person/juca_cipriano|José Alves de Simas;Martim Francisco Filho|https://carlamenegat.github.io/VarelaDigital/person/martim_francisco_filho;Vitorino José Carneiro Monteiro|https://www.wikidata.org/wiki/Q10392115|Barão de São Borja§Carneiro,,Porto Alegre|https://www.geonames.org/3452925/porto-alegre.html|Leal e Valerosa Cidade de Porto Alegre§Madre de Deus de Porto Alegre;Rio Pardo|https://www.geonames.org/3451102/rio-pardo.html;São Gabriel|https://www.geonames.org/3449099/sao-gabriel.html,,1978;2025-07-12;2025-12-03,CV-111.xml
CV-112,Carta CV-112 – José Pedroso de Albuquerque para Francisco das Chagas Martins Ávila e Sousa,José Pedroso de Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/jose_pedroso_albuquerque,Francisco das Chagas Martins Ávila e Sousa,https://carlamenegat.github.io/VarelaDigital/person/padre_chagas,1842-09-26,Alegrete,https://www.geonames.org/3472638/alegrete.html,-29.7901,-55.7942,José Pedroso de Albuquerque|https://www.wikidata.org/wiki/Q10310294;Francisco das Chagas Martins Ávila e Sousa|https://www.wikidata.org/wiki/Q10285293|Padre Francisco das Chagas Martins Ávila e Sousa;Francisco Terroba|https://carlamenegat.github.io/VarelaDigital/person/padre_francisco_terroba|Padre§Padre Francisco Terroba,,Alegrete|https://www.geonames.org/3472638/alegrete.html|Secretaria da Justiça em Alegrete;Itaqui|https://www.geonames.org/3460629/itaqui.html|Passo do Itaqui,,1842-09-26;1978;2025-07-12;2025-12-03,CV-112.xml
CV-113,Carta CV-113 – José Pedroso de Albuquerque para Inácio José de Oliveira Guimarães,José Pedroso de Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/jose_pedroso_albuquerque,Inácio José de Oliveira Guimarães,https://carlamenegat.github.io/VarelaDigital/person/inacio_guimaraes,1842-09-27,Alegrete,https://www.geonames.org/3472638/alegrete.html,-29.7901,-55.7942,Inácio José de Oliveira Guimarães|https://www.wikidata.org/wiki/Q10303358;José Pedroso de Albuquerque|https://www.wikidata.org/wiki/Q10310294,Secretaria da Justiça|https://carlamenegat.github.io/VarelaDigital/org/secretaria_justica;Secretaria da República Rio-Grandense|https://carlamenegat.github.io/VarelaDigital/org/secretaria_republica_riograndense|Secretaria da República,Alegrete|https://www.geonames.org/3472638/alegrete.html;São Lourenço|https://www.geonames.org/3448596/sao-lourenco-do-sul.html|Boqueirão§São Lourenço do Sul,,1842-08-11;1842-09-27;1978;2025-07-12;2025-12-03,CV-113.xml
CV-114,Carta CV-114 – José Pedroso de Albuquerque para Domingos José de Almeida,José Pedroso de Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/jose_pedroso_albuquerque,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1860-09-16,Alegrete,https://www.geonames.org/3472638/alegrete.html,-29.7901,-55.7942,Antônio Pedroso de Albuquerque|https://carlamenegat.github.io/VarelaDigital/person/antonio_pedroso_albuquerque;David José Martins|https://www.wikidata.org/wiki/Q17276409|David Canabarro;Domingos José de Almeida|https://www.wikidata.org/wiki/Q10268073;João Antônio da Silveira|https://www.wikidata.org/wiki/Q16940348;José Pedroso de Albuquerque|https://www.wikidata.org/wiki/Q10310294;Luís Alves de Lima e Silva|https://www.wikidata.org/wiki/Q712089|Duque de Caxias§Barão de Caxias,Império do Brasil|https://www.wikidata.org/wiki/Q217230|Brazilian Empire§Imperio;República Rio-Grandense|https://www.wikidata.org/wiki/Q162192|República Rio-grandense§República de Piratini,Alegrete|https://www.geonames.org/3472638/alegrete.html;Japeju|https://www.geonames.org/3460134/coxilha-do-japeju.html;Rio Uruguai|https://www.geonames.org/3439704/uruguay-river.html|Uruguai;São Paulo|https://www.geonames.org/3448439/sao-paulo.html|S. Paulo;São Tomé|https://www.geonames.org/3835793/santo-tome.html,,1860-06-21;1860-09-16;1860-09-26;1978;2025-07-12;2025-12-03,CV-114.xml
CV-115,Carta CV-115 – Ricardo Antônio de Melo e Albuquerque para Bento Manuel Ribeiro,Ricardo Antônio de Melo e Albuquerque,https://carlamenegat.github.io/VarelaDigital/person/ricardo_melo_albuquerque,Bento Manuel Ribeiro,https://carlamenegat.github.io/VarelaDigital/person/bento_manoel,1839-12-07,Cruz Alta,https://www.geonames.org/3465108/cruz-alta.html,-28.6450,-53.6048,Agostinho Antônio de Mello|https://carlamenegat.github.io/VarelaDigital/person/agostinho_antonio_melo|Agostinho Antônio de Mello e Albuquerque§Agostinho;Bento Manuel Ribeiro|https://www.wikidata.org/wiki/Q3638335;Candinho|https://carlamenegat.github.io/VarelaDigital/person/candinho;Capitão Lima|https://carlamenegat.github.io/VarelaDigital/person/capitao_lima|Lima;Ricardo Antônio de Melo e Albuquerque|https://carlamenegat.github.io/VarelaDigital/person/ricardo_melo_albuquerque;Tenente-coronel Aranha|https://carlamenegat.github.io/VarelaDigital/person/tenente_coronel_aranha|Tenente-coronelAranha,,Cerro de Botucaraí|https://www.geonames.org/11979354/cerro-botucarai.html|Botucaraí;Cruz Alta|https://www.geonames.org/3465108/cruz-alta.html|Vila da Cruz Alta;Passo Fundo|https://www.geonames.org/3454857/passo-fundo.html;Rio Pardo|https://www.geonames.org/3451102/rio-pardo.html,,1839-12-07;1978;2025-07-12;2025-12-03,CV-115.xml
CV-116,Carta CV-116 – Manuel de Aleman a Juan Antonio de Silvera,Manuel de Aleman,https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman,Juan Antonio de Silvera,https://carlamenegat.github.io/VarelaDigital/person/joao_antonio_silveira,1839-05-09,Cerro Largo,,,,João Antônio da Silveira|https://www.wikidata.org/wiki/Q16940348|Juan Antonio de Silvera;Manuel de Aleman|https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman|Manuel Alemán,,Cerro Largo|https://www.geonames.org/3443173/departamento-de-cerro-largo.html,,1839-05-09;1978;2025-07-12;2025-12-03,CV-116.xml
CV-117,Carta CV-117 – Manuel de Aleman a Domingos José de Almeida,Manuel de Aleman,https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1841-08-11,Melo,,-32.3700,-54.1790,Manuel de Aleman|https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman|Manuel Alemán,,Melo||Villa de Melo,,1841-08-11;1841-08-19;1978;2025-07-12;2025-12-03,CV-117.xml
CV-118,Carta CV-118 – Manuel de Aleman a Domingos José de Almeida,Manuel de Aleman,https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1841-08-12,Melo,,-32.3700,-54.1790,Domingos José de Almeida|https://www.wikidata.org/wiki/Q10268073|Domingos Jose de Almeida;Manuel de Aleman|https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman|Manuel Alemán,,Bagé|https://www.geonames.org/3471196/bage.html|Bayes;Melo||Villa de Melo,,1841-08-12;1841-08-19;1978;2025-07-12;2025-12-03,CV-118.xml
CV-119,Carta CV-119 – Manuel de Aleman a Domingos José de Almeida,Manuel de Aleman,https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman,Domingo José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1842-10-03,Cerro Largo,,,,Manuel de Aleman|https://carlamenegat.github.io/VarelaDigital/person/manuel_aleman|Manuel Alemán,,Bagé|https://www.geonames.org/3471196/bage.html|Bayes;Cerro Largo|https://www.geonames.org/3443173/departamento-de-cerro-largo.html,,1842-10-02;1842-10-03;1842-10-22;1978;2025-07-12;2025-12-03,CV-119.xml
CV-12,Carta CV-12 – Antônio Francisco dos Santos Abreu para Domingos José de Almeida,Antônio Francisco dos Santos Abreu,https://carlamenegat.github.io/VarelaDigital/person/antonio_abreu,Domingos José de Almeida,https://carlamenegat.github.io/VarelaDigital/person/domingos_jose_almeida,1842-02-09,São Lourenço,https://www.geonames.org/3448596/sao-lourenco-do-sul.html,-31.3625,-51.9717,Alexandre Silveira Lopes|https://carlamenegat.github.io/VarelaDigital/person/alexandre_silveira|Alexandre Silveira;Antônio Francisco dos Santos Abreu|https://carlamenegat.github.io/VarelaDigital/person/antonio_abreu;Antônio Vicente da Fontoura|https://www.wikidata.org/wiki/Q4777674|Fontoura;João Agostinho da Silva|https://carlamenegat.github.io/VarelaDigital/person/joao_silva,,Jaguarão|https://www.geonames.org/3460232/jaguarao.html;São Lourenço|https://www.geonames.org/3448596/sao-lourenco-do-sul.html|Boqueirão§São Lourenço do Sul,,1842-02-09;1842-02-23;1978;2025-06-17;2025-11-20,CV-12.xml
CV-120,Carta CV-120 – Manuel José de Alencastre ao Tenente-general das forças da capital,Manuel José de Alencastre,https://carlamenegat.github.io/VarelaDigital/person/manuel_jose_alencastre,,,1836-10-27,Distrito das Dores,https://www.geonames.org/6318661/sentinela-do-sul.html,-30.61139,-51.57889,João Evangelista Tavares|https://carlamenegat.github.io/VarelaDigital/person/joao_evangelista_tavares|João Evangelista;Manuel Antônio|https://carlamenegat.github.io/VarelaDigital/person/manuel_antonio_celebre;Manuel José de Alencastre|https://carlamenegat.github.io/VarelaDigital/person/manuel_jose_alencastre,,Arroio Velhaco|https://www.geonames.org/3445372;Capela das Dores|https://www.geonames.org/6318661/sentinela-do-sul.html|Distrito das Dores§Dores,,1836-10-27;1978;2025-07-12;2025-12-03,CV-120.xml
CV-121,CV-121 — Carta sobre deserções no corpo do Major Maximiano,Serafim Joaquim de Alencastre,https://carlamenegat.github.io/VarelaDigital/person/serafim_alencastre,João Antônio da Silveira,https://carlamenegat.github.io/VarelaDigital/person/joao_antonio_silveira,1839-12-14,Caçapava,https://www.geonames.org/3468560/cacapava-do-sul.html,-30.5144,-53.4827,José Gomes de Vasconcelos Jardim|https://www.wikidata.org/wiki/Q7274284|Gomes Jardim;João Antônio da Silveira|https://www.wikidata.org/wiki/Q16940348;Maximiano Rodrigues Fernandes|https://carlamenegat.github.io/VarelaDigital/person/major_maximiano|Major Maximiano;Serafim Joaquim de Alencastre|https://www.wikidata.org/wiki/Q10370179,Divisão Direita|https://carlamenegat.github.io/VarelaDigital/org/divisao_direita;Ministério da Guerra|https://carlamenegat.github.io/VarelaDigital/org/ministerio_guerra;Secretaria dos Negócios da Guerra|https://carlamenegat.github.io/VarelaDigital/org/secretaria_guerra|Secretaria da Guerra,Caçapava|https://www.geonames.org/3468560/cacapava-do-sul.html|Caçapava do Sul,,1839-12-14;1978;2025-07-12;2025-12-03,CV-121.xml
CV-122,CV-122 — Carta de Serafim Joaquim de Alencastre para João Antônio da Silveira,Serafim Joaquim de Alencastre,https://carlamenegat.github.io/VarelaDigital/person/serafim_alencastre,João Antônio da Silveira,https://carlamenegat.github.io/VarelaDigital/person/joao_antonio_silveira,1839-12-16,Caçapava,https://www.geonames.org/3468560/cacapava-do-sul.html,-30.5144,-53.4827,Serafim Joaquim de Alencastre|https://www.wikidata.org/wiki/Q10370179,,Caçapava|https://www.geonames.org/3468560/cacapava-do-sul.html|Caçapava do Sul,,1839-12-16;1978;2025-07-12;2025-12-03,CV-122.xml
